Epoch 108: Loss 0.03, Reward 0.0, Avgloss 0.06, Avgreward 0.33, Epsilon 0.93, TotalStep 3886
Epoch 109: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.33, Epsilon 0.93, TotalStep 3907
Epoch 110: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.33, Epsilon 0.93, TotalStep 3928
Epoch 111: Loss 0.04, Reward 0.0, Avgloss 0.05, Avgreward 0.33, Epsilon 0.93, TotalStep 3951
Epoch 112: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.33, Epsilon 0.93, TotalStep 3972
Epoch 113: Loss 0.13, Reward 1.0, Avgloss 0.05, Avgreward 0.34, Epsilon 0.93, TotalStep 4023
Epoch 114: Loss 0.32, Reward 2.0, Avgloss 0.06, Avgreward 0.36, Epsilon 0.92, TotalStep 4123
Epoch 115: Loss 0.07, Reward 1.0, Avgloss 0.06, Avgreward 0.37, Epsilon 0.92, TotalStep 4194
Epoch 116: Loss 0.03, Reward 0.0, Avgloss 0.05, Avgreward 0.35, Epsilon 0.92, TotalStep 4215
Epoch 117: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.35, Epsilon 0.92, TotalStep 4238
Epoch 118: Loss 0.04, Reward 1.0, Avgloss 0.05, Avgreward 0.36, Epsilon 0.92, TotalStep 4307
Epoch 119: Loss 0.05, Reward 0.0, Avgloss 0.05, Avgreward 0.36, Epsilon 0.92, TotalStep 4330
Epoch 120: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.36, Epsilon 0.92, TotalStep 4353
Epoch 121: Loss 0.10, Reward 3.0, Avgloss 0.05, Avgreward 0.39, Epsilon 0.92, TotalStep 4505
Epoch 122: Loss 0.05, Reward 1.0, Avgloss 0.05, Avgreward 0.40, Epsilon 0.92, TotalStep 4557
Epoch 123: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.40, Epsilon 0.92, TotalStep 4580
Epoch 124: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.40, Epsilon 0.92, TotalStep 4603
Epoch 125: Loss 0.06, Reward 1.0, Avgloss 0.05, Avgreward 0.41, Epsilon 0.92, TotalStep 4654
Epoch 126: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.40, Epsilon 0.92, TotalStep 4677
Epoch 127: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.40, Epsilon 0.91, TotalStep 4700
Epoch 128: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.40, Epsilon 0.91, TotalStep 4723
Epoch 129: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.40, Epsilon 0.91, TotalStep 4746
Epoch 130: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.40, Epsilon 0.91, TotalStep 4767
Epoch 131: Loss 0.05, Reward 1.0, Avgloss 0.05, Avgreward 0.41, Epsilon 0.91, TotalStep 4836
Epoch 132: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.41, Epsilon 0.91, TotalStep 4857
Epoch 133: Loss 0.05, Reward 1.0, Avgloss 0.05, Avgreward 0.42, Epsilon 0.91, TotalStep 4910
Epoch 134: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.42, Epsilon 0.91, TotalStep 4933
Epoch 135: Loss 0.04, Reward 1.0, Avgloss 0.05, Avgreward 0.43, Epsilon 0.91, TotalStep 4982
Epoch 136: Loss 0.23, Reward 1.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.91, TotalStep 5053
Epoch 137: Loss 0.06, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.91, TotalStep 5076
Epoch 138: Loss 0.15, Reward 2.0, Avgloss 0.05, Avgreward 0.45, Epsilon 0.91, TotalStep 5174
Epoch 139: Loss 0.22, Reward 3.0, Avgloss 0.05, Avgreward 0.48, Epsilon 0.90, TotalStep 5323
Epoch 140: Loss 0.12, Reward 2.0, Avgloss 0.05, Avgreward 0.50, Epsilon 0.90, TotalStep 5424
Epoch 141: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.50, Epsilon 0.90, TotalStep 5445
Epoch 142: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.50, Epsilon 0.90, TotalStep 5466
Epoch 143: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.50, Epsilon 0.90, TotalStep 5489
Epoch 144: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.50, Epsilon 0.90, TotalStep 5512
Epoch 145: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.49, Epsilon 0.90, TotalStep 5535
Epoch 146: Loss 0.09, Reward 2.0, Avgloss 0.05, Avgreward 0.50, Epsilon 0.90, TotalStep 5633
Epoch 147: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.50, Epsilon 0.90, TotalStep 5654
Epoch 148: Loss 0.07, Reward 1.0, Avgloss 0.05, Avgreward 0.51, Epsilon 0.90, TotalStep 5705
Epoch 149: Loss 0.03, Reward 0.0, Avgloss 0.05, Avgreward 0.49, Epsilon 0.90, TotalStep 5728
Epoch 150: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.49, Epsilon 0.90, TotalStep 5751
Epoch 151: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.48, Epsilon 0.90, TotalStep 5774
Epoch 152: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.48, Epsilon 0.90, TotalStep 5795
Epoch 153: Loss 0.08, Reward 2.0, Avgloss 0.05, Avgreward 0.50, Epsilon 0.89, TotalStep 5913
Epoch 154: Loss 0.03, Reward 0.0, Avgloss 0.05, Avgreward 0.49, Epsilon 0.89, TotalStep 5936
Epoch 155: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.49, Epsilon 0.89, TotalStep 5957
